,query,jieba_pos,jieba_segment,jieba_keywords,tfidf_keywords,textrank_keywords,Unnamed: 0,text_rank_keywords
131,孕妈肚子疼怎么回事？,孕妈/x 肚子疼/v 怎么回事/l,孕妈 肚子疼 怎么回事,孕妈 肚子疼 怎么回事,怎么回事 肚子疼 孕妈,肚子疼 怎么回事 孕妈,131,肚子疼 怎么回事 孕妈
132,孩子今天满月了，但是不知道吃母乳，今天老是吃不饱。,孩子/n 满月/t 吃/v 母乳/n 老/a 是/v 吃不饱/l,孩子 满月 吃 母乳 老是 吃不饱,母乳 吃不饱 满月 老是 孩子,老是 母乳 孩子 吃不饱 满月,满月 孩子 母乳,132,母乳 吃 老是 满月 吃不饱 孩子
133,宝宝最近吃母乳老是吃不饱，怎么回事？,宝宝/nr 吃/v 母乳/n 老/a 是/v 吃不饱/l 怎么回事/l,宝宝 吃 母乳 老是 吃不饱 怎么回事,母乳 吃不饱 老是 宝宝 怎么回事,宝宝 怎么回事 老是 母乳 吃不饱,母乳 怎么回事 宝宝 吃不饱,133,老是 母乳 吃不饱 吃 怎么回事 宝宝
134,孩子最近老吃母乳，老是吃不饱怎么回事？,孩子/n 老/a 吃/v 母乳/n 老/a 是/v 吃不饱/l 怎么回事/l,孩子 老 吃 母乳 老是 吃不饱 怎么回事,母乳 吃不饱 老是 怎么回事 孩子,怎么回事 老是 母乳 孩子 吃不饱,怎么回事 吃不饱,134,母乳 老是 吃 吃不饱 老 怎么回事 孩子
135,孕妇可以吃火龙果吗？,孕妇/n 吃/v 火龙果/n,孕妇 吃 火龙果,火龙果 孕妇,孕妇 火龙果,火龙果 孕妇,135,吃 火龙果 孕妇
136,怀孕几个月做才能变大？,怀孕/v 几个月/x 才能/v 变/v,怀孕 几个月 才能 变,几个月 怀孕 才能,怀孕 才能 几个月,才能 怀孕 几个月,136,才能 几个月 变 怀孕
137,我说我很想知道我怀的是男孩还是女孩，你知道吗？,想/v 我/r 怀/v 男孩/n 女孩/n,想 我怀 男孩 女孩,我怀 男孩 女孩,女孩 男孩 我怀,男孩 女孩,137,男孩 我怀 女孩 想
138,办理出院之后需要马上做出生证明吗？,办理/n 出院/n 马上/d 出生证明/v,办理 出院 马上 出生证明,出生证明 出院 办理 马上,出生证明 出院 办理 马上,马上 出院 办理 出生证明,138,马上 出院 出生证明 办理
139,办理出生证明需要办出院之后马上做吗？,办理/n 出生证明/v 办/v 出院/n 马上/d,办理 出生证明 办 出院 马上,出生证明 出院 办理 马上,出生证明 出院 办理 马上,出院 出生证明 马上 办理,139,办 出院 出生证明 马上 办理
140,月经来了怎么办？,月经/n,月经,月经,月经,,140,月经
141,我说我很想知道我怀的是男孩还是女孩，你知道吗？,想/v 我/r 怀/v 男孩/n 女孩/n,想 我怀 男孩 女孩,我怀 男孩 女孩,女孩 男孩 我怀,男孩 女孩,141,男孩 我怀 女孩 想
142,办理出院之后需要马上做出生证明吗？,办理/n 出院/n 马上/d 出生证明/v,办理 出院 马上 出生证明,出生证明 出院 办理 马上,出生证明 出院 办理 马上,马上 出院 办理 出生证明,142,马上 出院 出生证明 办理
143,办理出生证明需要办出院之后马上做吗？,办理/n 出生证明/v 办/v 出院/n 马上/d,办理 出生证明 办 出院 马上,出生证明 出院 办理 马上,出生证明 出院 办理 马上,出院 出生证明 马上 办理,143,办 出院 出生证明 马上 办理
144,我想问一下，出于好奇的心，我想知道是男孩还是女孩。,想/v 问/n 出于/v 好奇/a 心/n 想/v 男孩/n 女孩/n,想 问 出于 好奇 心 想 男孩 女孩,男孩 好奇 女孩 出于,女孩 男孩 出于 好奇,好奇 男孩 出于 女孩,144,想 心 问 好奇 出于 男孩 女孩
145,月经来了怎么办？,月经/n,月经,月经,月经,,145,月经
146,宝宝12天了，吃奶老是隔几分钟就吃的睡着了，放下又醒了。,宝宝/nr 12/m 天/q 吃奶/n 老/a 是/v 隔/v 几分钟/m 吃/v 睡着/v 放下/v 醒/v,宝宝 12 天 吃奶 老是 隔 几分钟 吃 睡着 放下 醒,12 吃奶 老是 几分钟 宝宝 睡着 放下,宝宝 老是 吃奶 放下 几分钟 睡着 12,睡着 12 宝宝 吃奶,146,隔 几分钟 老是 吃 吃奶 睡着 天 放下 12 醒 宝宝
147,8月宝宝发烧了什么？,8/x 月/m 宝宝/nr 发烧/v,8 月 宝宝 发烧,发烧 宝宝,宝宝 发烧,宝宝 发烧,147,宝宝 月 发烧 8
148,孕妇感冒怎么办？,孕妇/n 感冒/v,孕妇 感冒,孕妇 感冒,孕妇 感冒,感冒 孕妇,148,感冒 孕妇
149,跟我说宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,149,发育 指标 宝宝
150,宝宝快三个月的防疫针还一点都没打，怎么办？,宝宝/nr 快/a 三个月/x 防疫针/n 一点/m 没/v,宝宝 快 三个月 防疫针 一点 没,防疫针 三个月 宝宝 一点,宝宝 三个月 一点 防疫针,三个月 防疫针 一点 宝宝,150,防疫针 三个月 一点 快 没 宝宝
151,胃出血。,胃出血/n,胃出血,胃出血,胃出血,,151,胃出血
152,拉绿便便的原因。,拉/v 绿便便/x 原因/n,拉 绿便便 原因,绿便便 原因,原因 绿便便,绿便便 原因,152,绿便便 原因 拉
153,三个月肚子能有多大？,三个月/x 肚子/n,三个月 肚子,三个月 肚子,三个月 肚子,肚子 三个月,153,肚子 三个月
154,能不能吃川贝？,吃/v 川贝/nr,吃 川贝,川贝,川贝,,154,川贝 吃
155,好吧，我哭了，不是饿了怎么办呢？,好/a 哭/v 饿/v,好 哭 饿,,,,155,哭 饿 好
156,怎么了解宝宝哭呢？,宝宝/nr 哭/v,宝宝 哭,宝宝,宝宝,,156,哭 宝宝
157,五个月宝宝吃了药还不好，能不能去医院？,五个月/x 宝宝/nr 吃/v 药/n 不好/d 医院/n,五个月 宝宝 吃 药 不好 医院,五个月 宝宝 医院 不好,宝宝 五个月 不好 医院,宝宝 医院 五个月 不好,157,药 吃 不好 宝宝 医院 五个月
158,五个月宝宝吃了药还是咳嗽不好。,五个月/x 宝宝/nr 吃/v 药/n 咳嗽/v 不好/d,五个月 宝宝 吃 药 咳嗽 不好,五个月 宝宝 咳嗽 不好,宝宝 五个月 咳嗽 不好,宝宝 咳嗽 五个月 不好,158,药 吃 咳嗽 宝宝 不好 五个月
159,宝宝咳嗽严重又鼻塞怎么办？,宝宝/nr 咳嗽/v 鼻塞/n,宝宝 咳嗽 鼻塞,鼻塞 宝宝 咳嗽,宝宝 咳嗽 鼻塞,鼻塞 宝宝 咳嗽,159,咳嗽 鼻塞 宝宝
160,怎么了解宝宝哭呢？,宝宝/nr 哭/v,宝宝 哭,宝宝,宝宝,,160,哭 宝宝
161,五个月宝宝吃了药还不好，能不能去医院？,五个月/x 宝宝/nr 吃/v 药/n 不好/d 医院/n,五个月 宝宝 吃 药 不好 医院,五个月 宝宝 医院 不好,宝宝 五个月 不好 医院,宝宝 医院 五个月 不好,161,药 吃 不好 宝宝 医院 五个月
162,五个月宝宝吃了药还是咳嗽不好。,五个月/x 宝宝/nr 吃/v 药/n 咳嗽/v 不好/d,五个月 宝宝 吃 药 咳嗽 不好,五个月 宝宝 咳嗽 不好,宝宝 五个月 咳嗽 不好,宝宝 咳嗽 五个月 不好,162,药 吃 咳嗽 宝宝 不好 五个月
163,早进肚子痛。,早/a 进/v 肚子痛/n,早进 肚子痛,早进 肚子痛,早进 肚子痛,,163,肚子痛 早进
164,宝宝咳嗽严重又鼻塞怎么办？,宝宝/nr 咳嗽/v 鼻塞/n,宝宝 咳嗽 鼻塞,鼻塞 宝宝 咳嗽,宝宝 咳嗽 鼻塞,鼻塞 宝宝 咳嗽,164,咳嗽 鼻塞 宝宝
165,宝宝咳嗽严重诱发。,宝宝/nr 咳嗽/v 诱发/v,宝宝 咳嗽 诱发,诱发 宝宝 咳嗽,宝宝 咳嗽 诱发,诱发 宝宝 咳嗽,165,咳嗽 诱发 宝宝
166,大排畸是四维彩超吗？,大排畸/x 四维彩超/x,大排畸 四维彩超,大排畸 四维彩超,四维彩超 大排畸,大排畸 四维彩超,166,四维彩超 大排畸
167,孕妇可以吃橙子吗？,孕妇/n 吃/v 橙子/n,孕妇 吃 橙子,橙子 孕妇,孕妇 橙子,橙子 孕妇,167,吃 橙子 孕妇
168,吃妈咪爱可以改善宝宝大便吗？,吃/v 妈咪/n 爱/v 改善/v 宝宝/nr 大/a 便/d,吃 妈咪 爱 改善 宝宝 大便,妈咪 宝宝 改善,宝宝 妈咪 改善 大便,改善 妈咪 宝宝,168,改善 爱 宝宝 妈咪 大便 吃
169,宝宝宝宝咳嗽越来越严重怎么办？,宝宝/nr 宝宝/nr 咳嗽/v 越来越/d,宝宝 宝宝 咳嗽 越来越,宝宝 咳嗽 越来越,宝宝 咳嗽 越来越,宝宝 咳嗽 越来越,169,宝宝 咳嗽 越来越
170,吃妈咪爱可以改善宝宝大便吗？,吃/v 妈咪/n 爱/v 改善/v 宝宝/nr 大/a 便/d,吃 妈咪 爱 改善 宝宝 大便,妈咪 宝宝 改善,宝宝 妈咪 改善 大便,改善 妈咪 宝宝,170,改善 爱 宝宝 妈咪 大便 吃
171,怀孕可以吃巧克力吗？,怀孕/v 吃/v 巧克力/nr,怀孕 吃 巧克力,巧克力 怀孕,怀孕 巧克力,怀孕 巧克力,171,吃 巧克力 怀孕
172,吃妈咪爱可以改善吗？,吃/v 妈咪/n 爱/v 改善/v,吃 妈咪 爱 改善,妈咪 改善,妈咪 改善,改善 妈咪,172,爱 妈咪 改善 吃
173,孕妇可以吃猕猴桃吗？,孕妇/n 吃/v 猕猴桃/n,孕妇 吃 猕猴桃,猕猴桃 孕妇,孕妇 猕猴桃,猕猴桃 孕妇,173,吃 猕猴桃 孕妇
174,两个月宝宝大便拉稀是怎么回事？,两个月/x 宝宝/nr 便/d 拉稀/nr 怎么回事/l,两个月 宝宝 便 拉稀 怎么回事,两个月 拉稀 宝宝 怎么回事,宝宝 怎么回事 两个月 拉稀,拉稀 宝宝 怎么回事 两个月,174,大便 拉稀 宝宝 怎么回事 两个月
175,孕妇可以侧着躺吗？,孕妇/n 侧/v 躺/v,孕妇 侧 躺,孕妇,孕妇,,175,侧 躺 孕妇
176,两个月宝宝可以吃益生菌冻干粉吗？,两个月/x 宝宝/nr 吃/v 益生菌/nr 冻干粉/n,两个月 宝宝 吃 益生菌 冻干粉,冻干粉 益生菌 两个月 宝宝,宝宝 益生菌 两个月 冻干粉,益生菌 宝宝 冻干粉 两个月,176,吃 益生菌 宝宝 冻干粉 两个月
177,睡觉可以侧着躺吗？,睡觉/v 侧/v 躺/v,睡觉 侧 躺,睡觉,睡觉,,177,侧 躺 睡觉
178,可以侧着躺吗？,侧/v 躺/v,侧 躺,,,,178,躺 侧
179,两个月宝宝可以吃益生菌冻干粉吗？,两个月/x 宝宝/nr 吃/v 益生菌/nr 冻干粉/n,两个月 宝宝 吃 益生菌 冻干粉,冻干粉 益生菌 两个月 宝宝,宝宝 益生菌 两个月 冻干粉,益生菌 宝宝 冻干粉 两个月,179,吃 益生菌 宝宝 冻干粉 两个月
180,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,180,发育 指标 宝宝
181,两个月宝宝可以吃益生菌吗？,两个月/x 宝宝/nr 吃/v 益生菌/nr,两个月 宝宝 吃 益生菌,益生菌 两个月 宝宝,宝宝 益生菌 两个月,宝宝 益生菌 两个月,181,吃 宝宝 益生菌 两个月
182,坐月子可以吃猪肝瘦肉粥吗？,坐月子/n 吃/v 猪肝/n 瘦肉粥/nz,坐月子 吃 猪肝 瘦肉粥,瘦肉粥 猪肝 坐月子,坐月子 猪肝 瘦肉粥,猪肝 瘦肉粥 坐月子,182,猪肝 吃 瘦肉粥 坐月子
183,孕期性生活。,孕期/t 性生活/n,孕期 性生活,孕期 性生活,孕期 性生活,性生活 孕期,183,性生活 孕期
184,哺乳期可以吃猪肝瘦肉粥吗？,哺乳期/n 吃/v 猪肝/n 瘦肉粥/nz,哺乳期 吃 猪肝 瘦肉粥,瘦肉粥 猪肝 哺乳期,哺乳期 猪肝 瘦肉粥,猪肝 瘦肉粥 哺乳期,184,猪肝 吃 瘦肉粥 哺乳期
185,孕期上性生活。,孕期/t 性生活/n,孕期 性生活,孕期 性生活,孕期 性生活,性生活 孕期,185,性生活 孕期
186,宝宝感冒咳嗽流鼻涕，喉咙哑。,宝宝/nr 感冒/v 咳嗽/v 流鼻涕/n 喉咙/n 哑/v,宝宝 感冒 咳嗽 流鼻涕 喉咙 哑,流鼻涕 喉咙 宝宝 感冒 咳嗽,宝宝 感冒 咳嗽 流鼻涕 喉咙,咳嗽 流鼻涕 感冒 喉咙,186,流鼻涕 咳嗽 喉咙 感冒 哑 宝宝
187,宝宝感冒咳嗽嗯声音变哑。,宝宝/nr 感冒/v 咳嗽/v 声音/n 变/v 哑/v,宝宝 感冒 咳嗽 声音 变哑,变哑 宝宝 感冒 咳嗽 声音,宝宝 感冒 咳嗽 变哑 声音,感冒 咳嗽 宝宝 声音,187,咳嗽 声音 感冒 变哑 宝宝
188,现在都在感冒了怎么办？,感冒/v,感冒,感冒,感冒,,188,感冒
189,宝宝感冒咳嗽流鼻涕，喉咙哑。,宝宝/nr 感冒/v 咳嗽/v 流鼻涕/n 喉咙/n 哑/v,宝宝 感冒 咳嗽 流鼻涕 喉咙 哑,流鼻涕 喉咙 宝宝 感冒 咳嗽,宝宝 感冒 咳嗽 流鼻涕 喉咙,咳嗽 流鼻涕 感冒 喉咙,189,流鼻涕 咳嗽 喉咙 感冒 哑 宝宝
190,宝宝断奶一年多，母乳喂养还会有。,宝宝/nr 断奶/n 一年/m 母乳喂养/vn 还/d 会/v,宝宝 断奶 一年 母乳喂养 还会,断奶 母乳喂养 宝宝 还会 一年,宝宝 断奶 还会 母乳喂养 一年,断奶 一年 母乳喂养 宝宝,190,一年 母乳喂养 断奶 还会 宝宝
191,宝宝感冒咳嗽嗯声音变哑。,宝宝/nr 感冒/v 咳嗽/v 声音/n 变/v 哑/v,宝宝 感冒 咳嗽 声音 变哑,变哑 宝宝 感冒 咳嗽 声音,宝宝 感冒 咳嗽 变哑 声音,感冒 咳嗽 宝宝 声音,191,咳嗽 声音 感冒 变哑 宝宝
192,宝宝感冒了怎么办？,宝宝/nr 感冒/v,宝宝 感冒,宝宝 感冒,宝宝 感冒,感冒 宝宝,192,感冒 宝宝
193,宝宝感冒了怎么办？,宝宝/nr 感冒/v,宝宝 感冒,宝宝 感冒,宝宝 感冒,感冒 宝宝,193,感冒 宝宝
194,现在都在感冒了怎么办？,感冒/v,感冒,感冒,感冒,,194,感冒
195,小孩感冒了怎么办？,小孩/n 感冒/v,小孩 感冒,感冒 小孩,感冒 小孩,感冒 小孩,195,感冒 小孩
196,备孕期间用试纸测一条红颜色，一条浅颜色代表什么？,备孕/x 期间/f 试纸/vn 测/vn 一条/m 红颜色/nr 一条/m 浅/a 颜色/n 代表/n,备孕 期间 试纸 测 一条 红颜色 一条 浅 颜色 代表,备孕 红颜色 试纸 一条 颜色 期间 代表,期间 颜色 代表 红颜色 试纸 备孕 一条,一条 试纸 颜色 期间,196,一条 红颜色 测 浅 试纸 颜色 期间 代表 备孕
197,是指有一个红颜色，一个浅颜色，代表什么？,指有/v 一个/m 红颜色/nr 一个/m 浅/a 颜色/n 代表/n,指有 一个 红颜色 一个 浅 颜色 代表,指有 红颜色 颜色 一个 代表,颜色 红颜色 代表 指有 一个,一个 红颜色 颜色 指有,197,一个 红颜色 浅 颜色 指有 代表
198,宝宝发育快。,宝宝/nr 发育/vn 快/a,宝宝 发育 快,宝宝 发育,宝宝 发育,宝宝 发育,198,发育 快 宝宝
199,宝宝从2018年，嗯11月20号一直拉肚子，拉到10月30号，今天到医院去看过之后回来吃了药之后宝宝拉的大便是暗褐色，为什么？,宝宝/nr 2018/m 11/m 月/m 20/m 号/m 拉肚子/n 拉/v 到/v 10/m 月/m 30/m 号/m 医院/n 看过/v 回来/v 吃/v 药/n 宝宝/nr 拉/v 便是/v 暗褐色/n,宝宝 2018 11 月 20 号 拉肚子 拉到 10 月 30 号 医院 看过 回来 吃 药 宝宝 拉 便是 暗褐色,宝宝 2018 11 20 10 30 拉肚子 暗褐色 看过 便是 医院 回来,宝宝 拉肚子 30 医院 11 回来 20 便是 看过 拉到 暗褐色 2018 10,医院 宝宝 11 30,199,月 号 宝宝 30 20 11 10 拉肚子 医院 2018 药 拉 拉到 看过 吃 回来 便是 暗褐色
200,感觉宝宝有点斗鸡眼，该怎么教纠正？,感觉/n 宝宝/nr 斗鸡眼/i 教/v 纠正/v,感觉 宝宝 斗鸡眼 教 纠正,斗鸡眼 宝宝 纠正 感觉,宝宝 感觉 斗鸡眼 纠正,斗鸡眼 感觉 宝宝 纠正,200,斗鸡眼 教 宝宝 纠正 感觉
201,感觉宝宝有点斗鸡眼，该怎么纠正？,感觉/n 宝宝/nr 斗鸡眼/i 纠正/v,感觉 宝宝 斗鸡眼 纠正,斗鸡眼 宝宝 纠正 感觉,宝宝 感觉 斗鸡眼 纠正,斗鸡眼 宝宝 纠正 感觉,201,斗鸡眼 宝宝 纠正 感觉
202,牙龈出血。,牙龈/n 出血/v,牙龈 出血,牙龈 出血,出血 牙龈,牙龈 出血,202,出血 牙龈
203,妈妈牙龈出血是怎么回事儿？,妈妈/n 牙龈/n 出血/v 回事儿/n,妈妈 牙龈 出血 回事儿,牙龈 回事儿 出血 妈妈,妈妈 回事儿 出血 牙龈,牙龈 出血 妈妈 回事儿,203,出血 牙龈 回事儿 妈妈
204,剖腹产两个宝宝还能自己顺产宝宝吗？第三个包吗？,剖腹产/n 两个/m 宝宝/nr 顺产/n 宝宝/nr 第三个/m 包/v,剖腹产 两个 宝宝 顺产 宝宝 第三个 包,宝宝 顺产 剖腹产 第三个 两个,宝宝 剖腹产 顺产 第三个 两个,宝宝 顺产 两个 剖腹产,204,宝宝 顺产 第三个 两个 包 剖腹产
205,怀孕可以搬家吗？,怀孕/v 搬家/v,怀孕 搬家,搬家 怀孕,怀孕 搬家,搬家 怀孕,205,搬家 怀孕
206,怀孕了能搬家吗？,怀孕/v 搬家/v,怀孕 搬家,搬家 怀孕,怀孕 搬家,搬家 怀孕,206,搬家 怀孕
207,宝宝不喝奶粉怎么办？,宝宝/nr 喝/vg 奶粉/n,宝宝 喝 奶粉,奶粉 宝宝,宝宝 奶粉,宝宝 奶粉,207,喝 奶粉 宝宝
208,宝宝可以吃清清宝吗？,宝宝/nr 吃/v 清清/t 宝/nr,宝宝 吃 清清 宝,清清 宝宝,宝宝 清清,清清 宝宝,208,清清 吃 宝 宝宝
209,老婆可以吃清清宝吗？,老婆/n 吃/v 清清/t 宝/nr,老婆 吃 清清 宝,清清 老婆,清清 老婆,老婆 清清,209,清清 吃 宝 老婆
210,宝宝可以吃清清乳吗？,宝宝/nr 吃/v 清清/t 乳/ng,宝宝 吃 清清 乳,清清 宝宝,宝宝 清清,清清 宝宝,210,清清 吃 乳 宝宝
211,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,211,发育 指标 宝宝
212,宝宝拉绿色便便。,宝宝/nr 拉/v 绿色/n 便便/x,宝宝 拉 绿色 便便,便便 宝宝 绿色,宝宝 便便 绿色,绿色 宝宝 便便,212,绿色 拉 便便 宝宝
213,上幼儿园可以哭吗？,幼儿园/nr 哭/v,幼儿园 哭,幼儿园,幼儿园,,213,哭 幼儿园
214,宝宝可以吃母乳吗？,宝宝/nr 吃/v 母乳/n,宝宝 吃 母乳,母乳 宝宝,宝宝 母乳,母乳 宝宝,214,吃 母乳 宝宝
215,宝宝可以吃米乳吗？,宝宝/nr 吃/v 米/q 乳/ng,宝宝 吃 米 乳,宝宝,宝宝,,215,米 吃 乳 宝宝
216,宝宝拉绿色便便。,宝宝/nr 拉/v 绿色/n 便便/x,宝宝 拉 绿色 便便,便便 宝宝 绿色,宝宝 便便 绿色,绿色 宝宝 便便,216,绿色 拉 便便 宝宝
217,宝宝拉黑色便便是怎么回事？,宝宝/nr 拉/v 黑色/n 便/d 便是/v 怎么回事/l,宝宝 拉 黑色 便 便是 怎么回事,宝宝 怎么回事 黑色 便是,宝宝 怎么回事 便是 黑色,黑色 便是 怎么回事 宝宝,217,便 黑色 便是 拉 怎么回事 宝宝
218,上幼儿园可以哭吗？,幼儿园/nr 哭/v,幼儿园 哭,幼儿园,幼儿园,,218,哭 幼儿园
219,宝宝可以吃母乳吗？,宝宝/nr 吃/v 母乳/n,宝宝 吃 母乳,母乳 宝宝,宝宝 母乳,母乳 宝宝,219,吃 母乳 宝宝
220,上幼儿园会哭吗？,幼儿园/nr 哭/v,幼儿园 哭,幼儿园,幼儿园,,220,哭 幼儿园
221,宝宝可以吃米乳吗？,宝宝/nr 吃/v 米/q 乳/ng,宝宝 吃 米 乳,宝宝,宝宝,,221,米 吃 乳 宝宝
222,宝宝可以吃母乳吗？,宝宝/nr 吃/v 母乳/n,宝宝 吃 母乳,母乳 宝宝,宝宝 母乳,母乳 宝宝,222,吃 母乳 宝宝
223,可以吃什么巧克力？,吃/v 巧克力/nr,吃 巧克力,巧克力,巧克力,,223,巧克力 吃
224,宝宝一天可以吃几次米粉？,宝宝/nr 吃/v 几次/m 米粉/nr,宝宝 吃 几次 米粉,米粉 宝宝 几次,宝宝 几次 米粉,几次 宝宝 米粉,224,几次 吃 米粉 宝宝
225,宝宝肠绞痛怎么办？,宝宝/nr 肠绞痛/n,宝宝 肠绞痛,肠绞痛 宝宝,宝宝 肠绞痛,肠绞痛 宝宝,225,肠绞痛 宝宝
226,婴儿胆总坐高300多怎么回事？,婴儿/n 胆/n 总/b 坐/v 高/a 300/m 怎么回事/l,婴儿 胆总坐 高 300 怎么回事,胆总坐 300 怎么回事 婴儿,怎么回事 婴儿 300 胆总坐,怎么回事 300,226,高 300 胆总坐 怎么回事 婴儿
227,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,227,发育 指标 宝宝
228,宝宝发育指标。,宝宝/nr 发育/vn 指标/n,宝宝 发育 指标,宝宝 发育 指标,宝宝 发育 指标,指标 宝宝 发育,228,发育 指标 宝宝
229,婴儿但总数高达300多。,婴儿/n 总数/n 高/a 达/v 300/m,婴儿 总数 高达 300,300 婴儿 总数,婴儿 300 总数 高达,总数 婴儿,229,高达 总数 300 婴儿
230,但总会说高300多怎么回事？,总会/n 高/a 300/m 怎么回事/l,总会 高 300 怎么回事,300 总会 怎么回事,怎么回事 300 总会,300 总会 怎么回事,230,300 高 怎么回事 总会
231,黄疸高怎么办？,黄疸/n 高/a,黄疸 高,黄疸,黄疸,,231,高 黄疸
232,月子餐可不可以吃盐？,月子餐/x 可不可以/c 吃盐/n,月子餐 可不可以 吃盐,月子餐 吃盐 可不可以,可不可以 月子餐 吃盐,月子餐 吃盐 可不可以,232,可不可以 吃盐 月子餐
233,怎么数胎动？,数/n 胎动/n,数 胎动,胎动,胎动,,233,胎动 数
234,宝宝黄疸怎么治？,宝宝/nr 黄疸/n 治/v,宝宝 黄疸 治,黄疸 宝宝,宝宝 黄疸,黄疸 宝宝,234,黄疸 治 宝宝
235,宝宝经常打掉战是什么原因？,宝宝/nr 打/v 掉/zg 战是/n 原因/n,宝宝 打掉 战是 原因,战是 宝宝 原因,宝宝 原因 打掉 战是,战是 原因,235,战是 打掉 原因 宝宝
236,孕妇能喝夜奶吗？,孕妇/n 喝/vg 夜奶/x,孕妇 喝 夜奶,夜奶 孕妇,孕妇 夜奶,孕妇 夜奶,236,喝 夜奶 孕妇
237,孕妇能喝夜茶吗？,孕妇/n 喝/vg 夜茶/n,孕妇 喝 夜茶,夜茶 孕妇,孕妇 夜茶,孕妇 夜茶,237,喝 夜茶 孕妇
238,叶酸吃到多久能停？,叶酸/n 吃/v 多久/m,叶酸 吃 多久,叶酸 多久,多久 叶酸,多久 叶酸,238,吃 多久 叶酸
239,宝宝消化不良有什么症状？,宝宝/nr 消化不良/l 症状/n,宝宝 消化不良 症状,消化不良 宝宝 症状,宝宝 消化不良 症状,症状 消化不良 宝宝,239,消化不良 症状 宝宝
240,宝宝黄疸怎么治？,宝宝/nr 黄疸/n 治/v,宝宝 黄疸 治,黄疸 宝宝,宝宝 黄疸,黄疸 宝宝,240,黄疸 治 宝宝
241,为什么八个月的宝宝经常打赞是什么意思？,八个月/x 宝宝/nr 打赞/v,八个月 宝宝 打赞,八个月 打赞 宝宝,宝宝 八个月 打赞,打赞 宝宝 八个月,241,宝宝 打赞 八个月
242,宝宝经常打掉战是什么原因？,宝宝/nr 打/v 掉/zg 战是/n 原因/n,宝宝 打掉 战是 原因,战是 宝宝 原因,宝宝 原因 打掉 战是,战是 原因,242,战是 打掉 原因 宝宝
243,孕妇能喝鲜奶吗？,孕妇/n 喝/vg 鲜奶/n,孕妇 喝 鲜奶,鲜奶 孕妇,孕妇 鲜奶,鲜奶 孕妇,243,喝 鲜奶 孕妇
244,孕妇能喝夜奶吗？,孕妇/n 喝/vg 夜奶/x,孕妇 喝 夜奶,夜奶 孕妇,孕妇 夜奶,孕妇 夜奶,244,喝 夜奶 孕妇
245,日复可以喝艳艳子茶吗？,日/m 复/v 喝/vg 艳/a 艳子/n 茶/n,日复 喝艳艳子 茶,日复 喝艳艳子,日复 喝艳艳子,,245,喝艳艳子 茶 日复
246,孕妇能喝夜茶吗？,孕妇/n 喝/vg 夜茶/n,孕妇 喝 夜茶,夜茶 孕妇,孕妇 夜茶,孕妇 夜茶,246,喝 夜茶 孕妇
247,叶酸吃到多久能停？,叶酸/n 吃/v 多久/m,叶酸 吃 多久,叶酸 多久,多久 叶酸,多久 叶酸,247,吃 多久 叶酸
248,肚皮发痒怎么回事？,肚皮/n 发痒/v 怎么回事/l,肚皮 发痒 怎么回事,发痒 肚皮 怎么回事,怎么回事 发痒 肚皮,肚皮 怎么回事 发痒,248,发痒 怎么回事 肚皮
249,怀孕三个月肚子有点痒是怎么回事？,怀孕/v 三个月/x 肚子/n 痒/a 怎么回事/l,怀孕 三个月 肚子 痒 怎么回事,三个月 怀孕 怎么回事 肚子,怀孕 怎么回事 三个月 肚子,肚子 怀孕 三个月 怎么回事,249,肚子 痒 三个月 怎么回事 怀孕
250,怀孕能吃猪吗？,怀孕/v 吃/v 猪/n,怀孕 吃 猪,怀孕,怀孕,,250,吃 猪 怀孕
251,怀孕能喝柠檬茶吗？,怀孕/v 喝/vg 柠檬茶/n,怀孕 喝 柠檬茶,柠檬茶 怀孕,怀孕 柠檬茶,柠檬茶 怀孕,251,喝 柠檬茶 怀孕
252,赋能喝雪碧吗？,赋能/v 喝/vg 雪碧/x,赋能 喝 雪碧,赋能 雪碧,雪碧 赋能,雪碧 赋能,252,喝 雪碧 赋能
253,孕妇能做梦吗？,孕妇/n 做梦/v,孕妇 做梦,做梦 孕妇,孕妇 做梦,孕妇 做梦,253,做梦 孕妇
254,我能吃大蒜吗？,我/r 能/v 吃/v 大蒜/n,我能 吃 大蒜,我能 大蒜,大蒜 我能,,254,吃 大蒜 我能
255,孕妇能吃糖吗？,孕妇/n 吃糖/v,孕妇 吃糖,吃糖 孕妇,孕妇 吃糖,孕妇 吃糖,255,吃糖 孕妇
256,产后四肢发痒。,产后/n 四肢/n 发痒/v,产后 四肢 发痒,发痒 产后 四肢,产后 发痒 四肢,四肢 发痒 产后,256,四肢 发痒 产后
257,产后多久会来例假？,产后/n 多久/m 例假/v,产后 多久 例假,例假 产后 多久,产后 多久 例假,多久 例假 产后,257,多久 例假 产后
